DATE,Time,STREET NAME,VEHICLES,TOTAL PEOPLE,PEDESTRIANS,BICYCLISTS,INJURIES,MAJOR INJURIES,FATALITIES 
12-Nov,20:07 p.m.,VERNON RD & STENTON AV,1,2,1,0,1,1,0
12-Nov,15:25 p.m.,KNORR ST,1,2,1,0,1,1,0
12-Nov,19:05 p.m.,ADAMS AV,1,2,1,0,0,0,1
12-Jun,20:54 p.m.,LEHIGH AV,1,2,1,0,1,1,0
12-Dec,16:32 p.m.,WHITAKER AV,1,2,1,0,0,0,1
12-Dec,22:20 p.m.,CHESTER AV,1,2,1,0,0,0,1
12-Nov,16:25 p.m.,WESTMORELAND ST & RICHMOND ST,1,2,1,0,2,1,0
12-Dec,99:99 p.m.,ROOSEVELT BL & FOUTH ST,1,2,1,0,1,1,0
12-Oct,12:36 p.m.,15TH ST & WALNUT ST,1,2,0,1,1,1,0
12-Oct,15:04 p.m.,LEHIGH AV & SECOND ST,1,2,1,0,1,1,0
12-Nov,99:99 p.m.,JACKSON ST,1,2,1,0,1,1,0
12-Sep,23:25 p.m.,HARBISON AV,1,2,1,0,1,1,0
12-Dec,12:53 p.m.,LINDBERGH BL,1,2,1,0,0,0,1
12-Dec,21:16 p.m.,ROOSEVELT BL & RHWAN ST,1,2,1,0,0,0,1
12-Dec,18:13 p.m.,MURDOCH RD & STENTON AV,1,2,1,0,0,0,1
12-Dec,6:40 a.m.,LINDBERGH BL & SEVENTYFOURTH ST,1,2,1,0,0,0,1
12-Dec,23:04 p.m.,SPRINGFIELD AV & BALTIMORE AV,1,4,1,0,1,1,0
12-Dec,7:25 a.m.,60TH ST & VINE ST,1,3,0,1,0,0,1
12-Dec,1:42 a.m.,THIRTYSIXTH ST & CHESTNUT ST,1,4,1,0,1,1,0
12-Nov,4:57 a.m.,ESSINGTON AV,1,2,1,0,1,1,0
12-Dec,10:25 a.m.,ALLEGHENY AV & FRANKFORD AV,1,2,1,0,1,1,0
12-Dec,15:21 p.m.,MARKET ST & SIXTYTHIRD ST & COBBS CREEK PY,1,3,1,0,1,1,0
12-Sep,19:00 p.m.,RAMP RD & UNIVERSITY AV,1,3,0,1,0,0,1
12-Dec,20:17 p.m.,FRANKFORD AV,1,2,1,0,0,0,1
13-Jan,2:35 a.m.,CITY AV,1,2,1,0,0,0,1
12-Oct,18:00 p.m.,POPLAR ST & SIXTEENTH ST,1,2,0,1,1,1,0
